review_text,rating,review_date,helpful_votes,verified_purchase,sentiment_score,sentiment_label,aspects,strength_mentioned,weakness_mentioned,product_id,brand
Okay for the price. Liked the durable build but handle wobble is a concern. Time will tell.,3,2024-11-06,16,False,0.555,neutral,"{""handle"": ""neutral"", ""durability"": ""neutral"", ""price"": ""neutral""}",durable build,handle wobble,P0001,Safari
The durable build is outstanding. Packaging was good too. 5 stars.,4,2025-01-15,34,True,0.732,positive,"{""durability"": ""positive""}",durable build,,P0001,Safari
Been using for 6 months now. durable build still as good as day one. Very satisfied.,5,2025-12-23,8,True,0.887,positive,"{""durability"": ""positive""}",durable build,,P0001,Safari
Returned it after first use. The colour fading made it unusable. Waste of money.,2,2025-04-22,13,True,0.249,negative,"{""design"": ""negative"", ""price"": ""negative""}",,colour fading,P0001,Safari
Disappointed with this purchase. The colour fading started showing after just 2 trips. Expected better from Safari.,1,2025-01-30,17,False,0.0,negative,"{""design"": ""negative""}",,colour fading,P0001,Safari
Been using for 6 months now. spacious compartments still as good as day one. Very satisfied.,4,2025-01-11,35,True,0.873,positive,"{""size"": ""positive""}",spacious compartments,,P0001,Safari
"Delivered on time, product is solid. The durable build impressed me. Would recommend to everyone.",5,2025-03-26,37,True,0.928,positive,"{""durability"": ""positive""}",durable build,,P0001,Safari
The durable build is outstanding. Packaging was good too. 5 stars.,5,2026-02-27,22,True,1.0,positive,"{""durability"": ""positive""}",durable build,,P0001,Safari
Purchased as a gift and the recipient loved it. durable build is genuinely impressive for this price.,5,2025-11-01,15,True,0.944,positive,"{""durability"": ""positive"", ""price"": ""positive""}",durable build,,P0001,Safari
Decent product. spacious compartments is good but colour fading needs improvement. 3 stars.,3,2025-10-07,21,True,0.506,neutral,"{""size"": ""neutral"", ""design"": ""neutral""}",spacious compartments,colour fading,P0001,Safari
"Delivered on time, product is solid. The spacious compartments impressed me. Would recommend to everyone.",5,2025-12-19,24,True,1.0,positive,"{""size"": ""positive""}",spacious compartments,,P0001,Safari
Average product. The handle wobble is a major issue. Would not buy again.,1,2025-08-18,14,False,0.0,negative,"{""handle"": ""negative""}",,handle wobble,P0001,Safari
Great product! The smooth wheels is exactly what I needed. My family loves it.,5,2025-06-27,22,True,1.0,positive,"{""wheels"": ""positive""}",smooth wheels,,P0001,Safari
Great product! The smooth wheels is exactly what I needed. My family loves it.,5,2025-07-15,11,True,1.0,positive,"{""wheels"": ""positive""}",smooth wheels,,P0001,Safari
"It is okay. durable build is fine, handle wobble is a minor issue. Gets the job done.",3,2025-04-20,20,True,0.632,neutral,"{""handle"": ""neutral"", ""durability"": ""neutral""}",durable build,handle wobble,P0001,Safari
Okay for the price. Liked the durable build but colour fading is a concern. Time will tell.,3,2025-07-22,2,True,0.618,neutral,"{""durability"": ""neutral"", ""design"": ""neutral"", ""price"": ""neutral""}",durable build,colour fading,P0001,Safari
Purchased as a gift and the recipient loved it. spacious compartments is genuinely impressive for this price.,4,2024-05-28,21,True,0.779,positive,"{""size"": ""positive"", ""price"": ""positive""}",spacious compartments,,P0001,Safari
Been using for 6 months now. durable build still as good as day one. Very satisfied.,5,2024-05-26,26,True,1.0,positive,"{""durability"": ""positive""}",durable build,,P0001,Safari
Purchased as a gift and the recipient loved it. spacious compartments is genuinely impressive for this price.,5,2025-03-16,43,True,0.877,positive,"{""size"": ""positive"", ""price"": ""positive""}",spacious compartments,,P0001,Safari
Really happy with this Safari luggage. The smooth wheels is excellent. Bought for a trip to Goa and it handled everything perfectly.,4,2025-09-05,27,True,0.659,positive,"{""wheels"": ""positive"", ""handle"": ""positive""}",smooth wheels,,P0001,Safari
Excellent quality. smooth wheels is better than expected. Highly recommend.,5,2025-09-02,32,True,0.864,positive,"{""wheels"": ""positive"", ""durability"": ""positive""}",smooth wheels,,P0001,Safari
Disappointed with this purchase. The lock quality started showing after just 2 trips. Expected better from Safari.,1,2024-05-29,40,True,0.0,negative,"{""durability"": ""negative""}",,lock quality,P0001,Safari
Been using for 6 months now. spacious compartments still as good as day one. Very satisfied.,4,2025-09-17,9,False,0.717,positive,"{""size"": ""positive""}",spacious compartments,,P0001,Safari
Great product! The good zippers is exactly what I needed. My family loves it.,5,2024-07-03,36,True,0.931,positive,"{""zipper"": ""positive""}",good zippers,,P0001,Safari
Value for money purchase. good zippers is top notch. Already recommended to 3 friends.,4,2024-05-04,0,True,0.849,positive,"{""zipper"": ""positive"", ""price"": ""positive""}",good zippers,,P0001,Safari
Not worth the price. colour fading is a real problem. Customer care was unhelpful.,1,2024-04-26,33,True,0.0,negative,"{""design"": ""negative"", ""price"": ""negative""}",,colour fading,P0001,Safari
"Delivered on time, product is solid. The durable build impressed me. Would recommend to everyone.",5,2024-05-25,33,True,0.934,positive,"{""durability"": ""positive""}",durable build,,P0001,Safari
Purchased as a gift and the recipient loved it. good zippers is genuinely impressive for this price.,5,2024-09-24,28,True,1.0,positive,"{""zipper"": ""positive"", ""price"": ""positive""}",good zippers,,P0001,Safari
Been using for 6 months now. good zippers still as good as day one. Very satisfied.,5,2024-06-25,17,True,0.892,positive,"{""zipper"": ""positive""}",good zippers,,P0001,Safari
Excellent quality. spacious compartments is better than expected. Highly recommend.,4,2025-06-20,15,True,0.841,positive,"{""size"": ""positive"", ""durability"": ""positive""}",spacious compartments,,P0001,Safari
"Delivered on time, product is solid. The durable build impressed me. Would recommend to everyone.",4,2024-04-28,9,True,0.622,positive,"{""durability"": ""positive""}",durable build,,P0001,Safari
Excellent quality. good zippers is better than expected. Highly recommend.,5,2025-09-09,26,True,1.0,positive,"{""zipper"": ""positive"", ""durability"": ""positive""}",good zippers,,P0001,Safari
Purchased as a gift and the recipient loved it. spacious compartments is genuinely impressive for this price.,5,2025-03-06,21,True,0.91,positive,"{""size"": ""positive"", ""price"": ""positive""}",spacious compartments,,P0002,Safari
Not worth the price. colour fading is a real problem. Customer care was unhelpful.,3,2024-10-09,1,True,0.352,neutral,"{""design"": ""neutral"", ""price"": ""neutral""}",,colour fading,P0002,Safari
Purchased as a gift and the recipient loved it. durable build is genuinely impressive for this price.,4,2024-12-22,11,False,0.845,positive,"{""durability"": ""positive"", ""price"": ""positive""}",durable build,,P0002,Safari
The spacious compartments is outstanding. Packaging was good too. 5 stars.,4,2025-03-16,17,True,0.812,positive,"{""size"": ""positive""}",spacious compartments,,P0002,Safari
Average product. The handle wobble is a major issue. Would not buy again.,1,2024-10-03,3,True,0.069,negative,"{""handle"": ""negative""}",,handle wobble,P0002,Safari
Really happy with this Safari luggage. The durable build is excellent. Bought for a trip to Goa and it handled everything perfectly.,5,2025-07-29,12,True,1.0,positive,"{""handle"": ""positive"", ""durability"": ""positive""}",durable build,,P0002,Safari
Excellent quality. spacious compartments is better than expected. Highly recommend.,5,2024-09-08,13,True,0.872,positive,"{""size"": ""positive"", ""durability"": ""positive""}",spacious compartments,,P0002,Safari
Great product! The smooth wheels is exactly what I needed. My family loves it.,5,2025-10-23,19,False,0.958,positive,"{""wheels"": ""positive""}",smooth wheels,,P0002,Safari
Purchased as a gift and the recipient loved it. smooth wheels is genuinely impressive for this price.,5,2025-09-17,4,True,0.885,positive,"{""wheels"": ""positive"", ""price"": ""positive""}",smooth wheels,,P0002,Safari
Do not buy! The handle wobble is terrible. Safari should improve quality control.,2,2024-05-08,38,True,0.359,negative,"{""handle"": ""negative"", ""durability"": ""negative""}",,handle wobble,P0002,Safari
Quality is below par. colour fading within a month. Very frustrating experience.,2,2025-03-25,4,True,0.287,negative,"{""durability"": ""negative"", ""design"": ""negative""}",,colour fading,P0002,Safari
Great product! The good zippers is exactly what I needed. My family loves it.,5,2025-04-03,40,True,0.949,positive,"{""zipper"": ""positive""}",good zippers,,P0002,Safari
"Delivered on time, product is solid. The spacious compartments impressed me. Would recommend to everyone.",5,2024-06-11,17,True,0.869,positive,"{""size"": ""positive""}",spacious compartments,,P0002,Safari
Average product. The colour fading is a major issue. Would not buy again.,3,2024-08-10,17,True,0.443,neutral,"{""design"": ""neutral""}",,colour fading,P0002,Safari
Excellent quality. durable build is better than expected. Highly recommend.,4,2024-12-19,36,True,0.698,positive,"{""durability"": ""positive""}",durable build,,P0002,Safari
The durable build is outstanding. Packaging was good too. 5 stars.,4,2025-09-03,22,True,0.819,positive,"{""durability"": ""positive""}",durable build,,P0002,Safari
Really happy with this Safari luggage. The smooth wheels is excellent. Bought for a trip to Goa and it handled everything perfectly.,5,2025-09-25,5,True,1.0,positive,"{""wheels"": ""positive"", ""handle"": ""positive""}",smooth wheels,,P0002,Safari
Excellent quality. spacious compartments is better than expected. Highly recommend.,5,2024-11-22,28,True,1.0,positive,"{""size"": ""positive"", ""durability"": ""positive""}",spacious compartments,,P0002,Safari
Value for money purchase. spacious compartments is top notch. Already recommended to 3 friends.,4,2024-08-21,23,True,0.742,positive,"{""size"": ""positive"", ""price"": ""positive""}",spacious compartments,,P0002,Safari
The good zippers is outstanding. Packaging was good too. 5 stars.,5,2024-12-30,17,True,0.886,positive,"{""zipper"": ""positive""}",good zippers,,P0002,Safari
Great product! The spacious compartments is exactly what I needed. My family loves it.,5,2024-05-02,11,True,1.0,positive,"{""size"": ""positive""}",spacious compartments,,P0002,Safari
Been using for 6 months now. smooth wheels still as good as day one. Very satisfied.,5,2025-09-22,18,True,1.0,positive,"{""wheels"": ""positive""}",smooth wheels,,P0002,Safari
"Delivered on time, product is solid. The durable build impressed me. Would recommend to everyone.",4,2026-02-12,35,True,0.768,positive,"{""durability"": ""positive""}",durable build,,P0002,Safari
Decent product. good zippers is good but handle wobble needs improvement. 3 stars.,3,2024-08-29,18,True,0.581,neutral,"{""handle"": ""neutral"", ""zipper"": ""neutral""}",good zippers,handle wobble,P0002,Safari
Been using for 6 months now. spacious compartments still as good as day one. Very satisfied.,5,2024-12-05,7,True,0.998,positive,"{""size"": ""positive""}",spacious compartments,,P0002,Safari
Really happy with this Safari luggage. The durable build is excellent. Bought for a trip to Goa and it handled everything perfectly.,4,2024-09-09,19,False,0.757,positive,"{""handle"": ""positive"", ""durability"": ""positive""}",durable build,,P0002,Safari
Value for money purchase. good zippers is top notch. Already recommended to 3 friends.,5,2025-03-15,28,True,0.978,positive,"{""zipper"": ""positive"", ""price"": ""positive""}",good zippers,,P0002,Safari
Really happy with this Safari luggage. The good zippers is excellent. Bought for a trip to Goa and it handled everything perfectly.,5,2025-12-28,13,True,0.858,positive,"{""handle"": ""positive"", ""zipper"": ""positive""}",good zippers,,P0002,Safari
Value for money purchase. durable build is top notch. Already recommended to 3 friends.,4,2026-01-22,10,False,0.632,positive,"{""durability"": ""positive"", ""price"": ""positive""}",durable build,,P0002,Safari
Really happy with this Safari luggage. The good zippers is excellent. Bought for a trip to Goa and it handled everything perfectly.,4,2024-04-15,18,True,0.609,positive,"{""handle"": ""positive"", ""zipper"": ""positive""}",good zippers,,P0002,Safari
Value for money purchase. spacious compartments is top notch. Already recommended to 3 friends.,5,2024-09-28,14,True,1.0,positive,"{""size"": ""positive"", ""price"": ""positive""}",spacious compartments,,P0002,Safari
Disappointed with this purchase. The handle wobble started showing after just 2 trips. Expected better from Safari.,1,2025-05-29,38,True,0.0,negative,"{""handle"": ""negative""}",,handle wobble,P0002,Safari
Great product! The smooth wheels is exactly what I needed. My family loves it.,5,2025-06-01,44,True,1.0,positive,"{""wheels"": ""positive""}",smooth wheels,,P0002,Safari
Great product! The good zippers is exactly what I needed. My family loves it.,5,2025-01-21,20,True,1.0,positive,"{""zipper"": ""positive""}",good zippers,,P0002,Safari
Really happy with this Safari luggage. The spacious compartments is excellent. Bought for a trip to Goa and it handled everything perfectly.,5,2024-05-20,17,True,0.925,positive,"{""handle"": ""positive"", ""size"": ""positive""}",spacious compartments,,P0002,Safari
Excellent quality. spacious compartments is better than expected. Highly recommend.,5,2025-10-05,37,True,0.973,positive,"{""size"": ""positive"", ""durability"": ""positive""}",spacious compartments,,P0002,Safari
Returned it after first use. The colour fading made it unusable. Waste of money.,2,2025-05-15,42,False,0.327,negative,"{""design"": ""negative"", ""price"": ""negative""}",,colour fading,P0002,Safari
Excellent quality. good zippers is better than expected. Highly recommend.,4,2025-02-22,35,False,0.669,positive,"{""zipper"": ""positive"", ""durability"": ""positive""}",good zippers,,P0002,Safari
Great product! The smooth wheels is exactly what I needed. My family loves it.,5,2025-02-19,32,True,0.873,positive,"{""wheels"": ""positive""}",smooth wheels,,P0002,Safari
Really happy with this Safari luggage. The good zippers is excellent. Bought for a trip to Goa and it handled everything perfectly.,4,2025-04-03,39,True,0.687,positive,"{""handle"": ""positive"", ""zipper"": ""positive""}",good zippers,,P0002,Safari
Been using for 6 months now. durable build still as good as day one. Very satisfied.,5,2025-06-18,28,True,0.898,positive,"{""durability"": ""positive""}",durable build,,P0002,Safari
Value for money purchase. durable build is top notch. Already recommended to 3 friends.,5,2025-05-25,35,False,1.0,positive,"{""durability"": ""positive"", ""price"": ""positive""}",durable build,,P0002,Safari
Excellent quality. spacious compartments is better than expected. Highly recommend.,5,2024-06-14,9,True,1.0,positive,"{""size"": ""positive"", ""durability"": ""positive""}",spacious compartments,,P0002,Safari
Excellent quality. smooth wheels is better than expected. Highly recommend.,5,2025-08-02,29,True,1.0,positive,"{""wheels"": ""positive"", ""durability"": ""positive""}",smooth wheels,,P0002,Safari
Been using for 6 months now. spacious compartments still as good as day one. Very satisfied.,5,2025-02-08,21,True,1.0,positive,"{""size"": ""positive""}",spacious compartments,,P0002,Safari
Been using for 6 months now. durable build still as good as day one. Very satisfied.,5,2024-08-23,42,True,1.0,positive,"{""durability"": ""positive""}",durable build,,P0002,Safari
The good zippers is outstanding. Packaging was good too. 5 stars.,5,2024-09-29,24,True,0.906,positive,"{""zipper"": ""positive""}",good zippers,,P0002,Safari
Value for money purchase. spacious compartments is top notch. Already recommended to 3 friends.,5,2025-08-12,26,False,1.0,positive,"{""size"": ""positive"", ""price"": ""positive""}",spacious compartments,,P0002,Safari
"Delivered on time, product is solid. The good zippers impressed me. Would recommend to everyone.",5,2026-03-02,8,True,1.0,positive,"{""zipper"": ""positive""}",good zippers,,P0002,Safari
Great product! The durable build is exactly what I needed. My family loves it.,5,2024-12-27,0,True,1.0,positive,"{""durability"": ""positive""}",durable build,,P0002,Safari
Excellent quality. spacious compartments is better than expected. Highly recommend.,5,2025-07-11,21,True,1.0,positive,"{""size"": ""positive"", ""durability"": ""positive""}",spacious compartments,,P0002,Safari
Purchased as a gift and the recipient loved it. durable build is genuinely impressive for this price.,5,2024-07-06,45,True,0.945,positive,"{""durability"": ""positive"", ""price"": ""positive""}",durable build,,P0002,Safari
Great product! The durable build is exactly what I needed. My family loves it.,4,2024-05-08,18,True,0.633,positive,"{""durability"": ""positive""}",durable build,,P0002,Safari
Great product! The good zippers is exactly what I needed. My family loves it.,5,2024-04-28,19,True,0.918,positive,"{""zipper"": ""positive""}",good zippers,,P0002,Safari
The durable build is outstanding. Packaging was good too. 5 stars.,5,2025-11-10,15,True,0.978,positive,"{""durability"": ""positive""}",durable build,,P0002,Safari
"Delivered on time, product is solid. The spacious compartments impressed me. Would recommend to everyone.",4,2025-03-13,39,True,0.845,positive,"{""size"": ""positive""}",spacious compartments,,P0002,Safari
Excellent quality. spacious compartments is better than expected. Highly recommend.,5,2024-12-24,16,True,1.0,positive,"{""size"": ""positive"", ""durability"": ""positive""}",spacious compartments,,P0002,Safari
Do not buy! The colour fading is terrible. Safari should improve quality control.,2,2026-01-23,28,True,0.102,negative,"{""durability"": ""negative"", ""design"": ""negative""}",,colour fading,P0002,Safari
"It is okay. smooth wheels is fine, lock quality is a minor issue. Gets the job done.",3,2024-05-02,16,True,0.503,neutral,"{""wheels"": ""neutral"", ""durability"": ""neutral""}",smooth wheels,lock quality,P0002,Safari
Great product! The good zippers is exactly what I needed. My family loves it.,4,2024-08-31,22,True,0.725,positive,"{""zipper"": ""positive""}",good zippers,,P0002,Safari
"It is okay. smooth wheels is fine, handle wobble is a minor issue. Gets the job done.",3,2025-07-01,0,True,0.417,neutral,"{""wheels"": ""neutral"", ""handle"": ""neutral""}",smooth wheels,handle wobble,P0002,Safari
Excellent quality. durable build is better than expected. Highly recommend.,5,2025-06-19,14,True,0.886,positive,"{""durability"": ""positive""}",durable build,,P0002,Safari
Been using for 6 months now. spacious compartments still as good as day one. Very satisfied.,5,2024-06-02,43,True,0.951,positive,"{""size"": ""positive""}",spacious compartments,,P0002,Safari
Excellent quality. durable build is better than expected. Highly recommend.,4,2025-03-31,8,False,0.883,positive,"{""durability"": ""positive""}",durable build,,P0002,Safari
Value for money purchase. good zippers is top notch. Already recommended to 3 friends.,4,2024-10-03,23,True,0.697,positive,"{""zipper"": ""positive"", ""price"": ""positive""}",good zippers,,P0002,Safari
Average product. The colour fading is a major issue. Would not buy again.,3,2025-06-10,21,True,0.506,neutral,"{""design"": ""neutral""}",,colour fading,P0002,Safari
Value for money purchase. durable build is top notch. Already recommended to 3 friends.,5,2024-05-18,25,True,1.0,positive,"{""durability"": ""positive"", ""price"": ""positive""}",durable build,,P0002,Safari
Average product. The handle wobble is a major issue. Would not buy again.,1,2024-10-06,7,True,0.0,negative,"{""handle"": ""negative""}",,handle wobble,P0002,Safari
Purchased as a gift and the recipient loved it. smooth wheels is genuinely impressive for this price.,5,2025-03-24,6,True,1.0,positive,"{""wheels"": ""positive"", ""price"": ""positive""}",smooth wheels,,P0002,Safari
Value for money purchase. smooth wheels is top notch. Already recommended to 3 friends.,5,2024-06-27,29,True,1.0,positive,"{""wheels"": ""positive"", ""price"": ""positive""}",smooth wheels,,P0002,Safari
"Delivered on time, product is solid. The good zippers impressed me. Would recommend to everyone.",4,2026-03-01,19,True,0.676,positive,"{""zipper"": ""positive""}",good zippers,,P0002,Safari
"Delivered on time, product is solid. The spacious compartments impressed me. Would recommend to everyone.",5,2025-03-25,42,True,0.999,positive,"{""size"": ""positive""}",spacious compartments,,P0002,Safari
"Delivered on time, product is solid. The good zippers impressed me. Would recommend to everyone.",5,2024-06-07,6,True,0.94,positive,"{""zipper"": ""positive""}",good zippers,,P0002,Safari
The smooth wheels is outstanding. Packaging was good too. 5 stars.,4,2025-01-08,15,True,0.685,positive,"{""wheels"": ""positive""}",smooth wheels,,P0002,Safari
The smooth wheels is outstanding. Packaging was good too. 5 stars.,4,2025-06-30,12,True,0.611,positive,"{""wheels"": ""positive""}",smooth wheels,,P0002,Safari
Okay for the price. Liked the good zippers but handle wobble is a concern. Time will tell.,3,2024-06-20,40,True,0.533,neutral,"{""handle"": ""neutral"", ""zipper"": ""neutral"", ""price"": ""neutral""}",good zippers,handle wobble,P0002,Safari
"Delivered on time, product is solid. The smooth wheels impressed me. Would recommend to everyone.",5,2025-09-10,4,True,1.0,positive,"{""wheels"": ""positive""}",smooth wheels,,P0002,Safari
The spacious compartments is outstanding. Packaging was good too. 5 stars.,5,2024-08-06,0,True,0.865,positive,"{""size"": ""positive""}",spacious compartments,,P0002,Safari
Average experience. spacious compartments works fine but not blown away. Expected more from Safari.,3,2025-10-12,7,True,0.434,neutral,"{""size"": ""neutral""}",spacious compartments,lock quality,P0002,Safari
Value for money purchase. durable build is top notch. Already recommended to 3 friends.,5,2026-03-23,11,True,1.0,positive,"{""durability"": ""positive"", ""price"": ""positive""}",durable build,,P0002,Safari
Great product! The good zippers is exactly what I needed. My family loves it.,5,2024-12-07,28,True,0.922,positive,"{""zipper"": ""positive""}",good zippers,,P0002,Safari
Value for money purchase. durable build is top notch. Already recommended to 3 friends.,5,2026-02-23,42,True,0.893,positive,"{""durability"": ""positive"", ""price"": ""positive""}",durable build,,P0002,Safari
Excellent quality. durable build is better than expected. Highly recommend.,5,2025-01-27,43,False,0.997,positive,"{""durability"": ""positive""}",durable build,,P0002,Safari
Great product! The good zippers is exactly what I needed. My family loves it.,4,2025-11-08,4,False,0.896,positive,"{""zipper"": ""positive""}",good zippers,,P0002,Safari
Been using for 6 months now. smooth wheels still as good as day one. Very satisfied.,5,2024-07-28,27,False,0.923,positive,"{""wheels"": ""positive""}",smooth wheels,,P0002,Safari
Excellent quality. spacious compartments is better than expected. Highly recommend.,5,2025-02-09,21,True,1.0,positive,"{""size"": ""positive"", ""durability"": ""positive""}",spacious compartments,,P0002,Safari
Purchased as a gift and the recipient loved it. durable build is genuinely impressive for this price.,4,2025-07-21,23,True,0.828,positive,"{""durability"": ""positive"", ""price"": ""positive""}",durable build,,P0002,Safari
Great product! The good zippers is exactly what I needed. My family loves it.,5,2026-01-03,27,False,0.921,positive,"{""zipper"": ""positive""}",good zippers,,P0002,Safari
Really happy with this Safari luggage. The spacious compartments is excellent. Bought for a trip to Goa and it handled everything perfectly.,5,2024-09-10,35,True,1.0,positive,"{""handle"": ""positive"", ""size"": ""positive""}",spacious compartments,,P0002,Safari
Purchased as a gift and the recipient loved it. smooth wheels is genuinely impressive for this price.,5,2026-02-15,18,True,0.96,positive,"{""wheels"": ""positive"", ""price"": ""positive""}",smooth wheels,,P0002,Safari
Excellent quality. spacious compartments is better than expected. Highly recommend.,4,2025-12-19,22,True,0.79,positive,"{""size"": ""positive"", ""durability"": ""positive""}",spacious compartments,,P0002,Safari
Value for money purchase. smooth wheels is top notch. Already recommended to 3 friends.,5,2024-09-11,39,True,1.0,positive,"{""wheels"": ""positive"", ""price"": ""positive""}",smooth wheels,,P0002,Safari
Been using for 6 months now. durable build still as good as day one. Very satisfied.,4,2025-07-03,44,True,0.761,positive,"{""durability"": ""positive""}",durable build,,P0002,Safari
